Time,"Time Code","Country Name","Country Code","GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","GDP at market prices (current US$) [NY.GDP.MKTP.CD]","GDP per capita (current US$) [NY.GDP.PCAP.CD]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS]","Foreign direct investment, net (BoP, current US$) [BN.KLT.DINV.CD]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]","GINI index (World Bank estimate) [SI.POV.GINI]","Inflation, consumer prices (annual %) [FP.CPI.TOTL.ZG]","Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Internet users (per 100 people) [IT.NET.USER.P2]","Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Adult literacy rate, population 15+ years, both sexes (%) [SE.ADT.LITR.ZS]","Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC]","Agriculture, value added (% of GDP) [NV.AGR.TOTL.ZS]","CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC]","Central government debt, total (% of GDP) [GC.DOD.TOTL.GD.ZS]","Population, total [SP.POP.TOTL]"
1966,"YR1966","Afghanistan","AFG","","1399999965.86667","137.946782875667","","8.57142878040817","","","","","","","18.5714286178685","34.9574146341463","","","","","0.10767396986513","","10148841"
1966,"YR1966","Albania","ALB","","","","","","","","","","","","","66.0893170731707","","","","","1.33305546458662","","1914573"
1966,"YR1966","Algeria","DZA","-4.80497094020372","3039859261.76752","234.190775381274","230","25.9861975178091","","","","","1.81781453882199","","24.6535720040753","48.7908048780488","","","","9.13725572903242","0.649480607836402","","12980269"
1966,"YR1966","American Samoa","ASM","","","","","","","","","","","","","","","","","","","","24320"
1966,"YR1966","Andorra","ADO","","","","","","","","","","","","","","","","","","","","19646"
1966,"YR1966","Angola","AGO","","","","","","","","","","","","","35.3950975609756","","","","","0.265164145789731","","5863568"
1966,"YR1966","Antigua and Barbuda","ATG","","","","","","","","","","","","","64.1255609756098","","","","","5.72799171297971","","60818"
1966,"YR1966","Argentina","ARG","-0.65972617159396","28630474727.9023","1266.3450445928","1340","6.65291738359955","","","","31.9142689371696","25.603462426397","","4.98968803354159","65.782243902439","","","","10.2785862835392","2.79265392283792","","22608747"
1966,"YR1966","Armenia","ARM","","","","","","","","","","","","","68.4147317073171","","","","","","","2269475"
1966,"YR1966","Aruba","ABW","","","","","","","","","","","","","67.699","","","","","","","57712"
